,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,floor,area
0,2.0,10000,1100,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
1,2.0,20000,800,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,other
2,2.0,17000,1000,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,Salt Lake City Sector 2
3,2.0,10000,800,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
4,2.0,7500,850,Carpet Area,Kolkata,Unfurnished,Bachelors,1.0,1,other
5,2.0,7000,600,Super Area,Kolkata,Unfurnished,Both,2.0,0,Thakurpukur
6,2.0,10000,700,Super Area,Kolkata,Unfurnished,Bachelors,2.0,0,other
7,1.0,5000,250,Super Area,Kolkata,Unfurnished,Bachelors,1.0,1,other
8,2.0,26000,800,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,1,other
9,2.0,10000,1000,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,1,other
10,3.0,25000,1200,Carpet Area,Kolkata,Semi-Furnished,Both,2.0,1,other
11,1.0,5000,400,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Keshtopur
12,1.0,6500,250,Carpet Area,Kolkata,Furnished,Bachelors,1.0,1,other
13,1.0,5500,375,Carpet Area,Kolkata,Unfurnished,Both,1.0,1,Dum Dum Metro
14,3.0,8500,900,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,0,other
15,3.0,40000,1286,Carpet Area,Kolkata,Furnished,Both,2.0,1,other
16,2.0,6000,600,Super Area,Kolkata,Semi-Furnished,Both,1.0,1,Barasat
17,2.0,10000,800,Super Area,Kolkata,Unfurnished,Both,1.0,0,Behala
18,2.0,11000,2000,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Behala Chowrasta
19,2.0,6000,660,Super Area,Kolkata,Unfurnished,Both,1.0,1,Behala
20,2.0,7900,650,Carpet Area,Kolkata,Unfurnished,Family,1.0,1,Santoshpur
21,2.0,9000,400,Carpet Area,Kolkata,Unfurnished,Bachelors,2.0,2,Garia Station
22,1.0,4000,300,Carpet Area,Kolkata,Unfurnished,Both,1.0,0,Garia Station
23,3.0,6500,1600,Super Area,Kolkata,Unfurnished,Both,1.0,0,Joka
24,1.0,8000,400,Super Area,Kolkata,Semi-Furnished,Bachelors,1.0,1,other
25,2.0,7000,1000,Super Area,Kolkata,Unfurnished,Both,1.0,1,other
26,1.0,5300,355,Carpet Area,Kolkata,Semi-Furnished,Both,1.0,1,Dum Dum
27,2.0,6000,1000,Super Area,Kolkata,Semi-Furnished,Both,1.0,0,other
28,2.0,8500,800,Super Area,Kolkata,Unfurnished,Both,1.0,4,Baguiati
29,2.0,12500,850,Super Area,Kolkata,Unfurnished,Both,2.0,0,other
